run_date,total_songs,popularity_score,most_listened_pop_score,avg_song_duration
2025-04-09,2424,61.5259901,65.76,3.89
2025-04-11,2428,61.68945634266886,65.93,3.83
2025-04-15,2431,61.91608391608391,66.49,3.83
2025-04-16,2435,61.982751540041065,66.55,3.83
2025-04-17,2437,62.042675420599096,67.56,3.85
2025-04-19,2444,62.12684124386252,67.08,3.85
2025-04-20,2445,62.17546012269938,67.12,3.83
2025-04-22,2447,62.24683285655905,67.61,3.83
2025-04-23,2448,62.244281045751634,67.61,3.84
2025-04-24,2449,62.26704777460188,67.65,3.83
2025-04-25,2454,62.27832110839446,67.55,3.81
2025-04-28,2457,62.33211233211233,67.55,3.85
2025-05-05,2461,62.46607070296628,67.68,3.79
2025-05-06,2462,62.474004874086106,67.7,3.78
