song_name,song_id,song_popularity,song_release,song_duration
Zombieboy,0ElVpg9XIswx3XWs6kUj6a,82,2025-03-07,3.56
No More Sad Songs (feat. Machine Gun Kelly),0U372D2pbraSnrTFxSYlNj,62,2016-11-18,3.75
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),46NBoIAHrmR7qcUGCIFEjR,71,2016-05-13,3.45
Release Me,4LiJE6pqgsTX3FtukW6bNh,70,2008-04-01,4.27
Anyone Who Knows What Love Is (Will Understand),5GWCndQ8ykzf6rYRvwrFcj,61,1966-01-01,2.93
Tik Tik Boom (feat. T.I.),4mWmOPT9SIWWSJxc4qT7If,37,2013-11-30,2.95
Til It's Gone,6I9livBOOwAOV5YcVa9Npk,39,2013-11-30,3.71
Silver Lining (crazy 'bout you),27dYgu9SoZY5t3EzC2hSue,32,2012-11-16,3.88
Commander,31zeLcKH2x3UCMHT75Gk5C,46,2011-01-01,3.64
Popular Song,0xFomAiFsu5qCnLM0hu0UR,60,2012-01-01,3.34
Won't Cry,6pgHkxKQh1LnW9wdTQCQDx,51,2024-11-22,3.67
NISSAN ALTIMA,2dKkVF2m160z0RNDN2dddc,85,2024-08-30,2.11
Migrate,6JTWpLuDTujTnBaNjEHydI,42,2008-04-04,4.3
Physical (feat. Troye Sivan),1SdQjKRW52cHg2SEesQLvH,78,2025-03-28,3.21
Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,87,2012-07-10,3.35
Oscar Winning Tears.,0iO2iCAjtX0t5duvczNQt6,82,2023-02-03,3.06
ARTPOP,73zDQykFwu3yT5VQ6MwYbh,63,2013-11-11,4.13
Love Is Wicked,5kEfk2sb4xoEvk2zWbTGpt,56,2007-01-01,3.71
Open Hearts,0stJVUUSrbEwyFHOp2dRu0,66,2025-01-30,3.92
Nothing On (But The Radio),58q4iIjSd6zueicG8F65GW,58,2023-08-18,2.49
Money Trees,2HbKqm4o0w5wEeEFXm2sD4,84,2012,6.45
Adorn,25cUhiAod71TIQSNicOaW3,75,2012-09-28,3.22
In My Bag (feat. GloRilla),7pKQ8k33PnvE2djwJ64wzx,53,2024-11-14,3.14
Guess featuring billie eilish,3WOhcATHxK2SLNeP5W3v1v,82,2024-08-01,2.39
intro (end of the world),2o1pb13quMReXZqE7jWsgq,82,2024-03-08,1.54
Nostalgia,1YZOcaGiN1cCwANvG3Ib9G,72,2025-02-21,3.06
Secrets,1kmex5eDBvfniYJpmmIizl,40,2009-01-01,3.74
End of the World,5SxahezRlC0saXbCALfB7c,87,2025-04-04,4.17
One More Try,2drQ6wg2hdl6RDslarifh8,52,1990-03-15,3.49
S&M Remix,44FAj28ivN0HJ0xVYwQ9nL,62,2011-01-01,4.29
Massive Attack,5h5sJvkKdIfC4yjALOmPn7,45,2010-01-01,3.29
Little Bad Girl (feat. Taio Cruz & Ludacris),6JH56gZC7EJDcoxabVcWVL,51,2011-08-24,3.2
Untouched,0KlahhzNb98zyN83Vwae0l,69,2007-10-30,4.26
4 In The Morning,64fSdRkaB7ksxI9suUGYmi,53,2006-01-01,4.85
NOKIA,2u9S9JJ6hTZS3Vf22HOZKg,94,2025-02-14,4.02
Duality,61mWefnWQOLf90gepjOCb3,84,2004,4.21
Hampstead,4D2DFuqs2PwLiHbcf6CX47,84,2025-03-28,3.6
dandelion,6wZOZ0votPhc8qdg4UFPtH,86,2025-03-28,3.41
warm,0BeR2fJmYnKNn7IORw3GR9,84,2025-03-28,3.37
twilight zone,1YRbAonLvmuUILvQso0gUM,87,2025-03-28,3.31
intro (end of the world) - extended,5BBkvXH2jYROUzKIB7WX7S,84,2025-03-28,2.69
Out Alive,0WERyfuo4DDFUxq7zGc8Qv,36,2012-11-30,3.52
All That Matters (The Beautiful Life),7949ooAKks9n3EB5CesM4B,36,2012-11-30,3.63
Supernatural,1UKDcxiR4VNad3toIHpJZ6,43,2012-11-30,4.18
Wherever You Are,1gztpRMA4iqfMdgxzZ51zZ,37,2012-11-30,3.97
Bailando - English Version,4vSSBsriHfHnvqNjeaO8AZ,44,2014-07-04,4.05
Heart Attack,25CA8QVJQrh5R05UUCaODM,59,2012-08-17,3.89
Dancing With Tears In My Eyes,4Apb0ut2uTYIFxavAczqKd,46,2010-01-01,3.49
Bluest Flame,41goAg1ZxePWjXXfZ7PhG7,80,2025-03-21,2.72
Georgy Porgy,5jQcJ2st6yHWhUBjoDoZPH,74,1978-10-10,4.13
Already Gone,4fq2YUONcgrCJ2SPndSeKC,58,2009-03-06,4.69
Apologize,1NrJYpdAi7uosDRPmSYrsG,71,2007-01-01,3.47
Heroes (we could be),3zU9rdflI65tK4dkkNSp77,76,2015-05-22,3.5
What I Did for Love (feat. Emeli Sandé),1YRjRHdl0aEtzHEn1uGi8k,59,2014-11-10,3.45
Don't Hold Your Breath,7pAq1IXYZpL42HchCminu6,57,2011-01-01,3.29
Tokyo Love Hotel,6pbBCVX3nWsPY6f7p2lGxu,47,2020-04-17,4.46
Paranoid,3fpVWegR6YOS1Yk5HSMYIq,65,2018-04-27,3.7
Afterthought,4G9hlKVIwuWE8qpW2UQpV3,70,2020-09-24,3.25
Let Down,2fuYa3Lx06QQJAm0MjztKr,83,1997-05-28,4.99
Don’t Smile,09LrGvT9KsACH66RHYMDyR,78,2024-08-23,3.44
Stayin Alive,5ubvP9oKmxLUVq506fgLhk,75,2020-12-11,4.76
Every Day Is Exactly The Same,0ypg59NyOVCpWVzd0SUsT5,65,2005-05-03,4.91
Feel Good Inc.,0d28khcov6AiegSCpG5TuT,90,2005-05-23,3.71
Hold My Hand,1i1rNVtxbE7rdFfpHuNq2j,66,2015-02-24,3.79
Hold My Hand (with Akon),1652voE1ZeLyehNC2kbHMb,65,2010-12-10,3.54
FINE SHIT,79mFFAOYcG8ZF6AN1JecAL,81,2025-03-14,1.78
RATHER LIE (with The Weeknd),68qeaZhtMZ6abrJCYt6nQn,91,2025-03-14,3.49
EVIL J0RDAN,6iycYUk3oB0NPMdaDUrN1w,91,2025-03-14,3.07
CRUSH (with Travis Scott),3VdooJLOy4tLxKpnn46SMP,85,2025-03-14,2.89
Ashawo (Remix),6w1icUDAHcLpfMXkVDUX64,36,2010-07-20,4.37
Gold,7yNX3ZFBWZoR52pbeU4Mcl,69,2020-10-09,3.76
Everytime We Touch,2iA1MTr7YGg2lSu7XISiJR,55,2006-04-04,3.27
U Remind Me,2QsZVnbWVSjKMXK6K3uRBL,74,2001-08-07,4.45
Beautiful,3TCauNPqFiniaYHBvEVoHG,71,2002-07-19,3.98
Money Trees,0AOvNRgl0SMfOibWA5bP8o,65,2012,6.45
I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,1yy2DlSDtEt90d54rPDPXz,69,1997,5.11
Back That Azz Up,525yPO8r5J6kLostDxm3XK,56,2004-01-01,4.43
No Diggity,6MdqqkQ8sSC0WB4i8PyRuQ,81,1996-09-09,5.08
Killing Me Softly With His Song,0Q0IVlqMV64kNLlwjPj0Hl,80,1996-02-13,4.98
Doo Wop (That Thing),0uEp9E98JB5awlA084uaIg,78,1998-08-25,5.34
Alright,0ECs7wpW9157Tk5yBUGbE0,62,2015-10-16,3.24
Holy Grail,37jTPJgwCCmIGMPB45jrPV,66,2013-07-04,5.64
On To The Next One,4ljDnzzqwnRIynr1g55um4,57,2009-09-08,4.27
Young Forever,35srNkJVToAzYiZzron1FY,69,2009-09-08,4.23
Ni**as In Paris,1auxYwYrFRqZP7t3s7w4um,82,2011-08-08,3.66
Touch The Sky,2dxjKgT0li4qBI3QwuN9Ih,76,2005-08-30,3.94
Paranoid,0w2piYWj1F2bzUftzGJgK9,65,2008-11-24,4.63
Love Lockdown,1kxeWHF9PrCVZHvVskv8lg,66,2008-11-24,4.51
Lost In The World,2Im64pIz6m0EJKdUe6eZ8r,65,2010-11-22,4.28
Blame Game,4EndPA8b6FDWYp1RgsnLEB,63,2010-11-22,7.83
Dark Fantasy,7yNK27ZTpHew0c55VvIJgm,71,2010-11-22,4.68
